Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LASST370000000000006,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Area:,North Carolina,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,
State/Region/Division:,North Carolina,,,,,,,,,,,
Years:,1976 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1976,2590713,2589914,2591051,2595746,2601868,2608026,2612384,2615329,2617712,2619883,2622472,2626102
1977,2631693,2639061,2647364,2656658,2666733,2677091,2687831,2699489,2712141,2724034,2733262,2739356
1978,2742962,2745056,2746468,2748872,2753904,2761126,2768607,2774339,2777987,2781335,2785667,2790078
1979,2793605,2796087,2797733,2798448,2798730,2799839,2803326,2809545,2817357,2824962,2831088,2836088
1980,2840711,2845342,2850082,2854107,2857160,2859286,2860073,2859729,2859561,2860649,2864365,2871037
1981,2879752,2888410,2895278,2898812,2897988,2894007,2889188,2885281,2883207,2924852,2938672,2943490
1982,2944426,2943600,2942504,2942184,2942844,2943738,2944300,2944338,2943606,2941402,2938044,2933974
1983,2929636,2926152,2924198,2925810,2931790,2941224,2952742,2964947,2976247,2986491,2996442,3000081
1984,3005890,3013489,3021684,3028485,3032733,3037603,3031984,3034851,3037156,3040928,3047168,3055988
1985,3066433,3076821,3085094,3090421,3094039,3098364,3105884,3116850,3129942,3142791,3152901,3158756
1986,3160643,3161270,3163456,3168411,3175359,3182956,3190053,3196521,3202774,3209050,3215970,3224206
1987,3233810,3243349,3251993,3259248,3265303,3271074,3277008,3282950,3289033,3295096,3300543,3304438
1988,3306044,3306487,3307613,3311155,3317352,3325066,3333313,3341460,3348333,3353145,3356516,3359549
1989,3363608,3368766,3374690,3381035,3387247,3392828,3396764,3398932,3400880,3405268,3413032,3424291
1990,3438205,3452754,3465180,3473317,3477502,3478858,3479830,3482239,3486374,3491810,3498465,3505592
1991,3511558,3516305,3520140,3523932,3528604,3534738,3541651,3548465,3554838,3560128,3563951,3566272
1992,3568783,3572951,3579800,3589256,3599235,3608205,3615497,3620131,3621649,3620760,3618461,3616276
1993,3615043,3614942,3616420,3618875,3621422,3623217,3623876,3624114,3624992,3627028,3630412,3634909
1994,3640132,3644821,3648306,3651945,3657705,3666300,3677747,3690920,3704077,3715703,3724930,3730496
1995,3731914,3731456,3731550,3732902,3736361,3742324,3749970,3758895,3768835,3778858,3788544,3798947
1996,3811217,3825159,3839973,3854887,3868849,3881392,3892624,3902519,3910992,3919081,3927512,3936421
1997,3945342,3953675,3960615,3965726,3968224,3968169,3967018,3965963,3965438,3965140,3964373,3962934
1998,3961197,3959672,3958772,3959466,3962241,3966610,3971327,3976374,3982338,3989054,3995956,4002518
1999,4008017,4012867,4018102,4023746,4030270,4038489,4048525,4058998,4067961,4074754,4080122,4084682
2000,4089999,4096180,4103091,4111263,4119908,4127509,4133433,4138444,4144132,4151937,4161618,4172079
2001,4181546,4188581,4192268,4191819,4189087,4186363,4185454,4186896,4190543,4195507,4201276,4207612
2002,4212924,4216210,4217044,4216396,4215058,4213354,4211222,4208708,4205732,4201693,4196729,4191631
2003,4241568,4267936,4282717,4290346,4292857,4292764,4291674,4290714,4290415,4291171,4292416,4292468
2004,4290148,4286058,4282643,4281421,4282195,4283749,4285523,4287154,4288791,4291165,4294700,4300310
2005,4307787,4315872,4323537,4330675,4338048,4346067,4354216,4361901,4368733,4374131,4378685,4383727
2006,4390556,4400107,4412606,4427027,4441640,4455650,4469761,4483993,4497305,4508874,4517303,4521187
2007,4521375,4519599,4517170,4516257,4518158,4522298,4527639,4533684,4539861,4545177,4548881,4550690
2008,4550387,4549021,4548589,4550328,4555179,4562466,4570040,4575725,4578761,4579559,4660713,4675867
2009,4671579,4661739,4650196,4637538,4628915,4604881,4597934,4589848,4583348,4580404,4583521,4594002
2010,4610346,4627749,4641281,4647554,4645967,4639128,4631078,4625433,4623661,4626410,4631812,4636964
2011,4640615,4642589,4643342,4644273,4646793,4650932,4656313,4662440,4668641,4674451,4679145,4682632
2012,4685349,4687985,4690963,4694447,4699826,4708084,4718993,4731208,4743200,4752900,4758979,4761413
2013,4761137,4743684,4728352,4716914,4708233,4700202,4691444,4688961,4667427,4668675,4669501,4671157
2014,4674182,4678328,4683224,4687746,4691864,4696574,4701014,4705145,4709906,4715147,4719503,4723623
2015,4728780,4735727,4744251,4753189,4760636,4765102,4767689,4769911,4772715,4778016,4787250,4798884
2016,4810316,4819869,4826578,4830974,4834712,4838912,4844325,4851158,4859201,4867434,4875090,4882053
2017,4829626,4834668,4840015,4847192,4856677,4867493,4878081,4886091,4890096,4889994,4887261,4885076
2018,4883710,4889226,4898015,4906470,4911991,4914457,4914439,4914460,4917251,4924093,4934296,4946004
2019,4964075,4972557,4978311,4983119,4988502,4995269,5003468,5012022,5020101,5026915,5031815,5032337
2020,5028110,5021590,4795414,4614677,4757516,4759594,4802680,4805012,4835031,4834866,4846027,4859161
2021,4859099,4860455,4864371,4867339,4870000,4902210,4929804,4960319,4989648,5023464,5057514,5091797
2022,5128785,5135869,5142838,5149917,5157133,5162326,5164281,5164967,5165229,5167664,5171814,5178313
2023,5187348,5198413,5209372,5219426,5228514,5236574,5243700,5248591,5250933,5251275,5249601,5248887
2024,5254063,5255806,5260124,5262606,5267369,5269449,5269463,5267076,5266027,,,
