county_desc,Votes
ALAMANCE,75
ALEXANDER,12
ALLEGHANY,6
ANSON,12
ASHE,16
AVERY,7
BEAUFORT,19
BERTIE,6
BLADEN,19
BRUNSWICK,104
BUNCOMBE,144
BURKE,45
CABARRUS,93
CALDWELL,42
CAMDEN,3
CARTERET,35
CASWELL,11
CATAWBA,83
CHATHAM,58
CHEROKEE,15
CHOWAN,1
CLAY,6
CLEVELAND,45
COLUMBUS,18
CRAVEN,49
CUMBERLAND,119
CURRITUCK,16
DARE,20
DAVIDSON,61
DAVIE,24
DUPLIN,18
DURHAM,167
EDGECOMBE,21
FORSYTH,184
FRANKLIN,43
GASTON,92
GATES,4
GRAHAM,4
GRANVILLE,23
GREENE,9
GUILFORD,237
HALIFAX,27
HARNETT,54
HAYWOOD,34
HENDERSON,64
HERTFORD,7
HOKE,16
HYDE,1
IREDELL,108
JACKSON,24
JOHNSTON,96
JONES,7
LEE,23
LENOIR,26
LINCOLN,60
MACON,15
MADISON,13
MARTIN,9
MCDOWELL,25
MECKLENBURG,508
MITCHELL,6
MONTGOMERY,8
MOORE,51
NASH,61
NEW HANOVER,117
NORTHAMPTON,4
ONSLOW,73
ORANGE,82
PAMLICO,7
PASQUOTANK,20
PENDER,40
PERQUIMANS,5
PERSON,24
PITT,72
POLK,16
RANDOLPH,65
RICHMOND,21
ROBESON,40
ROCKINGHAM,37
ROWAN,71
RUTHERFORD,28
SAMPSON,25
SCOTLAND,5
STANLY,30
STOKES,18
SURRY,47
SWAIN,6
TRANSYLVANIA,19
UNION,139
VANCE,15
WAKE,609
WARREN,9
WASHINGTON,5
WATAUGA,31
WAYNE,31
WILKES,21
WILSON,35
YADKIN,13
YANCEY,11
